precinct_name,majority
0514 METRO,other
0392 INDEPENDENCE,dem
0872 VICTORY,other
0703 ROLLING HILLS,other
0639 PIERCE,dem
0408 JOYCE,dem
0274 EVERGREEN,dem
0362 HERITAGE,other
0741 SENTINEL,dem
0853 TULANE,dem
0417 KEIM,dem
0217 DESERT RIVER,other
0813 SUNNYSLOPE,dem
0403 JENTILLY,dem
0338 GREENWOOD,dem
0270 ESQUIRE,other
0553 NORTH MOUNTAIN,other
0170 CORTEZ,other
0253 EL CARO,other
0055 BERRIDGE,dem
0869 VERMONT,other
0300 GARDEN GROVES,other
0198 DARROW,dem
0422 KLEINMAN,other
0595 ORME,other
0491 MARIPOSA,other
0112 CARVER,dem
0789 STELLA,other
0327 GOODYEAR,other
0117 CELAYA,other
0466 LONGMORE,other
0712 RUBY,dem
0578 OAK PARK,other
0768 SOLEDAD,other
0885 WARNER,other
0164 CORDONIZ,other
0150 COLTER,dem
0152 COMMONWEALTH,other
0875 VINEYARD,dem
0632 PENNY LANE,other
0018 ALVARADO,other
0272 EUCLID,dem
0798 SUN DEVIL,other
0601 PALM,dem
0609 PALMER,other
0705 ROMA PARK,other
0296 FRIER,other
0458 LOMA LINDA,dem
0344 GUERRERO,other
0584 OCOTILLO,dem
0518 MILLS,dem
0285 FLYNN,dem
0473 LUKE,dem
0197 DANYELL,other
0594 OREGON,dem
0394 INDIAN SPRINGS,other
0083 BULLARD,dem
0830 TESSERA,other
0146 COLDWATER RIDGE,dem
0089 CACTUS WREN,other
0844 TOWNLEY,other
0507 MEADOWBROOK,dem
0704 ROMA,dem
0782 SPRUCE,other
0228 DOBBINS RANCH,dem
0793 STUMP,other
0653 POLK,dem
0496 MARYLAND,dem
0634 PEPPERWOOD,other
0261 ENCANTO,dem
0031 ARDMORE,dem
0124 CHEATHAM,dem
0165 CORDOVA,other
0345 HADLEY,other
0743 SEVILLA,dem
0163 CORDES,dem
0013 ALHAMBRA,other
0891 WEST PLAZA,dem
0675 READE,dem
0859 TWIN BUTTES,dem
0929 YALE,dem
0846 TRAILSIDE,dem
0691 RIO SALADO,other
0928 XAVIER,dem
0531 MONTEBELLO,other
0120 CHALLENGER,other
0920 WILSHIRE,dem
0852 TUCKEY,other
0544 MYRTLE,other
0479 MADISON PARK,dem
0761 SILVERADO,dem
0889 WELDON,other
0614 PAPAGO PARK,other
0618 PARK CENTRAL,dem
0045 AVONDALE,other
0442 LAVEEN MEADOWS,dem
0266 ESCALANTE,other
0849 TRES RIOS,dem
0058 BETHANY PARK,other
0214 DESERT MEADOWS,dem
0900 WESTWIND,dem
0669 QUENTIN,dem
0391 IMES,dem
0856 TURNEY,dem
0627 PECK,dem
0523 MITCHELL PARK,dem
0107 CARL,dem
0183 CREIGHTON,dem
0119 CENTRAL HIGH,dem
0615 PARADA,dem
0390 HUDSON,other
0635 PERRY PARK,dem
0497 MARYVALE,dem
0231 DOS RIOS,dem
0463 LONESOME,dem
0732 SANTA MARIA,dem
0368 HIDALGO,dem
0382 HONDA,other
0528 MONROE,dem
0258 ELWOOD,dem
0487 MARBLE CREEK,other
0740 SENNIA VISTA,dem
0698 ROADRUNNER,dem
0552 NORTH HIGH,dem
0374 HILTON,dem
0113 CASHION,dem
0224 DESSIE,dem
0520 MINNEZONA,dem
0086 BURGESS,dem
0376 HOLIDAY GARDENS,dem
0441 LAVEEN,dem
0439 LASSEN,dem
0379 HOLLY,dem
0471 LOWELL,dem
0328 GRANADA,dem
0838 TOLLESON,dem
0287 FOREST GROVE,dem
0788 STARLIGHT,dem
0074 BONSALL PARK,other
0072 BOLERO,other
0377 HOLIDAY PARK,dem
0850 TREVOR BROWNE,dem
0161 CORA,dem
0447 LEWIS,dem
0104 CAPITOL SCHOOL,dem
0694 RIVERSIDE,dem
0049 BALSZ,other
0702 ROESER,dem
0256 ELLIS,dem
0631 PENA,dem
0757 SIERRA VISTA,dem
0301 GARDENS,other
0898 WESTRIDGE,other
0854 TUMBLEWEED,dem
0242 DUNBAR,other
0381 HOLMES,dem
0220 DESERT SKY,other
0664 PUEBLO GRANDE,dem
0335 GREENFIELD,dem
0809 SUNLAND,dem
0492 MARIVUE,dem
0899 WESTWARD HO,dem
0191 CULVER,dem
0252 EDISON,dem
0864 VAN BUREN,dem
0608 PALMDALE,dem
0905 WHITTIER,dem
0354 HARRISON,dem
0771 SOUTH MTN HIGH,dem
0480 MADRID,dem
0094 CAMBRIDGE,dem
0380 HOLLYHOCK,dem
0503 MCDOWELL,dem
0304 GATEWAY,dem
0059 BETHUNE,dem
0288 FORT MCDOWELL,other
0383 HOPE,dem
0003 ACUNA,dem
0123 CHAVEZ,dem
0317 GIOVANNI,other
0530 MONTE VISTA,dem
0397 ISAAC,dem
0778 SOUTHERN,dem
0363 HERMOSA,dem
0360 HAYDEN HIGH,dem
0476 LYNWOOD,dem
0540 MOYA,dem
0460 LONE BUTTE,other
0629 PEE-POSH,dem
0721 SAN LUCY,dem
0343 GUADALUPE,dem
0425 KOMATKE,other
0367 HICKIWAN,dem
